#{"t_start": 1757234537.4369645, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,276.773905
-200.0,200,277.067528
-200.0,200,277.331889
-179.0,179,277.588074
-184.0,184,277.851321
-164.0,164,278.088187
-153.0,153,278.285683
-163.0,163,278.509645
-181.0,181,278.77034
-200.0,200,279.061873
-129.0,129,279.233473
-200.0,200,279.524695
-200.0,200,279.79873
-200.0,200,280.073489
-200.0,200,280.358857
-200.0,200,280.643464
-153.0,153,280.868413
-200.0,200,281.170564
-200.0,200,281.468874
-200.0,200,281.75914
-200.0,200,282.041358
-200.0,200,282.327363
-200.0,200,282.632338
-200.0,200,282.918956
-200.0,200,283.212869
-200.0,200,283.505005
-133.0,133,283.696146
-200.0,200,284.001317
-200.0,200,284.280403
-200.0,200,284.558787
-200.0,200,284.856565
-200.0,200,285.136611
-111.0,111,285.295951
-200.0,200,285.569586
-200.0,200,285.859998
-200.0,200,286.142382
-200.0,200,286.432036
-197.0,197,286.713709
-200.0,200,287.012323
-200.0,200,287.297022
-127.0,127,287.477947
-161.0,161,287.705566
-142.0,142,287.903018
-200.0,200,288.202774
-193.0,193,288.492853
-200.0,200,288.780542
-200.0,200,289.078404
-192.0,192,289.357203
-200.0,200,289.632735
-200.0,200,289.911134
-200.0,200,290.214947
-137.0,137,290.417393
-200.0,200,290.720545
-200.0,200,291.038198
-168.0,168,291.299929
-200.0,200,291.596838
-200.0,200,291.89507
-200.0,200,292.166944
-196.0,196,292.466934
-200.0,200,292.752815
-200.0,200,293.042429
-200.0,200,293.353435
-179.0,179,293.610929
-200.0,200,293.891989
-200.0,200,294.178564
-174.0,174,294.422168
-200.0,200,294.725736
-185.0,185,294.99077
